date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,model_prob,decimal_odds,edge,payoff_if_win,ev_market,ev_model,realized_return
2017-04-08,2017,New Orleans,@,Golden State,101,123,1600.0,-6000.0,216.0,17.0,106.0,0,0.058823529411764705,0.9836065573770492,0.0902545370520881,17.0,0.03143100764032339,16.0,0.0,0.5343271298854976,-1.0
2015-11-21,2016,Philadelphia,@,Miami,91,96,865.0,-1215.0,194.0,12.5,97.5,0,0.10362694300518134,0.9239543726235742,0.14001606879446002,9.65,0.03638912578927868,8.65,0.0,0.3511550638665393,-1.0
2009-02-24,2009,Memphis,@,Cleveland,79,94,1750.0,-3500.0,193.0,15.5,96.0,0,0.05405405405405406,0.9722222222222222,0.10227720342794847,18.5,0.04822314937389441,17.5,1.1102230246251565e-16,0.8921282634170467,-1.0
2013-04-09,2013,Phoenix,@,Houston,98,101,1200.0,-1850.0,214.0,14.5,104.5,0,0.07692307692307693,0.9487179487179487,0.11548407747224158,13.0,0.038561000549164656,12.0,0.0,0.5012930071391405,-1.0
2013-03-06,2013,Orlando,@,Miami,96,97,1800.0,-2600.0,204.0,15.5,101.5,0,0.05263157894736842,0.9629629629629629,0.10320817556118675,19.0,0.05057659661381833,18.0,-1.1102230246251565e-16,0.9609553356625483,-1.0
2010-03-13,2010,Washington,vs,Orlando,95,109,850.0,-1300.0,194.5,11.5,98.0,0,0.10526315789473684,0.9285714285714286,0.15123058215187346,9.5,0.045967424257136624,8.5,-1.1102230246251565e-16,0.4366905304427978,-1.0
2012-01-25,2012,New Jersey,@,Philadelphia,97,90,625.0,-825.0,192.0,11.5,95.5,1,0.13793103448275862,0.8918918918918919,0.1584481371075243,7.25,0.020517102624765693,6.25,0.0,0.14874899402955133,6.25
2022-12-12,2023,Brooklyn,@,Washington,112,100,-200.0,175.0,227.0,-6.0,110.5,1,0.6666666666666666,0.36363636363636365,0.6926287097245659,1.5,0.025962043057899287,0.5,-5.551115123125783e-17,0.038943064586848875,0.5
2015-03-06,2015,LA Lakers,@,Memphis,90,97,525.0,-700.0,196.5,10.0,99.0,0,0.16,0.875,0.18267259790617105,6.25,0.022672597906171044,5.25,0.0,0.14170373691356908,-1.0
2008-04-04,2008,New York,@,New Orleans,110,118,2000.0,-3000.0,210.5,16.0,103.5,0,0.047619047619047616,0.967741935483871,0.09846845649543141,21.0,0.0508494088763838,20.0,0.0,1.0678375864040597,-1.0
2014-12-29,2015,Utah,@,LA Clippers,97,101,695.0,-945.0,202.0,12.0,103.5,0,0.12578616352201258,0.9043062200956937,0.15021074734417483,7.95,0.024424583822162255,6.95,0.0,0.19417544138618992,-1.0
2010-03-13,2010,LA Clippers,@,San Antonio,88,118,650.0,-900.0,195.0,11.5,96.5,0,0.13333333333333333,0.9,0.1571872387722004,7.5,0.023853905438867062,6.5,0.0,0.17890429079150305,-1.0
2018-03-12,2018,San Antonio,@,Houston,93,109,650.0,-1000.0,211.5,11.5,109.5,0,0.13333333333333333,0.9090909090909091,0.1568115777422928,7.5,0.02347824440895946,6.5,0.0,0.17608683306719597,-1.0
2016-11-14,2017,Brooklyn,@,LA Clippers,95,127,1500.0,-5000.0,211.5,16.5,109.5,0,0.0625,0.9803921568627451,0.0944909065749941,16.0,0.031990906574994094,15.0,0.0,0.5118545051999055,-1.0
2011-01-01,2011,Sacramento,@,Denver,86,104,650.0,-900.0,208.5,11.0,101.5,0,0.13333333333333333,0.9,0.16397805040707178,7.5,0.030644717073738448,6.5,0.0,0.22983537805303844,-1.0
2018-12-19,2019,Washington,@,Houston,118,136,600.0,-900.0,225.0,11.0,110.5,0,0.14285714285714285,0.9,0.16564271424137292,7.0,0.02278557138423007,6.0,-1.1102230246251565e-16,0.15949899968961045,-1.0
2011-04-13,2011,New Jersey,@,Chicago,92,97,1000.0,-1800.0,193.0,14.5,93.5,0,0.09090909090909091,0.9473684210526315,0.11604106071562531,11.0,0.0251319698065344,10.0,1.1102230246251565e-16,0.27645166787187825,-1.0
2015-01-07,2015,New York,@,Washington,91,101,1100.0,-2500.0,187.5,14.5,94.5,0,0.08333333333333333,0.9615384615384616,0.11406259922948718,12.0,0.03072926589615385,11.0,0.0,0.3687511907538462,-1.0
2008-01-19,2008,Seattle,@,Dallas,96,111,1100.0,-1800.0,203.0,14.5,99.5,0,0.08333333333333333,0.9473684210526315,0.11576096186200453,12.0,0.032427628528671204,11.0,0.0,0.38913154234405445,-1.0
2016-11-12,2017,Philadelphia,@,Atlanta,96,117,1200.0,-2500.0,207.5,14.5,102.5,0,0.07692307692307693,0.9615384615384616,0.1141761399512474,13.0,0.03725306302817047,12.0,0.0,0.48428981936621607,-1.0
2008-02-02,2008,Charlotte,@,Denver,101,117,850.0,-1300.0,212.0,13.0,104.5,0,0.10526315789473684,0.9285714285714286,0.13483547897534567,9.5,0.029572321080608838,8.5,-1.1102230246251565e-16,0.28093705026578397,-1.0
2008-03-19,2008,Miami,@,Toronto,54,96,2500.0,-5000.0,198.5,18.5,95.0,0,0.038461538461538464,0.9803921568627451,0.07817204985162092,26.0,0.039710511390082456,25.0,0.0,1.032473296142144,-1.0
2016-12-10,2017,Memphis,vs,Golden State,110,89,800.0,-1300.0,211.5,13.0,104.5,1,0.1111111111111111,0.9285714285714286,0.13533319670433144,9.0,0.02422208559322034,8.0,0.0,0.21799877033898296,8.0
2009-04-13,2009,Minnesota,@,Dallas,94,96,625.0,-850.0,201.5,11.5,100.5,0,0.13793103448275862,0.8947368421052632,0.15850189505653828,7.25,0.02057086057377966,6.25,0.0,0.1491387391599025,-1.0
