date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,row_id,logit_prob,set,market_prob,EV,edge,profit,ev_bucket
2014-11-12,2015,New York,vs,Orlando,95,97,-265.0,220.0,191.5,-6.5,96.5,0,0.726027397260274,0.3125,16965,0.6988748721085478,train,0.726027397260274,-0.03739876105803791,-0.02715252515172617,-1.0,4
2014-11-12,2015,Brooklyn,@,Phoenix,104,112,160.0,-185.0,207.5,4.0,103.5,0,0.3846153846153846,0.6491228070175439,16966,0.3697212578376503,train,0.38461538461538464,-0.038724729622109155,-0.014894126777734329,-1.0,3
2014-11-12,2015,Denver,vs,Portland,113,130,-150.0,130.0,208.5,-3.0,104.0,0,0.6,0.4347826086956521,16967,0.5782706709051992,train,0.6,-0.036215548491334626,-0.021729329094800742,-1.0,5
2014-11-12,2015,Atlanta,vs,Utah,100,97,-324.0,264.0,197.0,-7.0,100.0,1,0.7641509433962265,0.2747252747252747,16968,0.7348349942629394,train,0.7641509433962265,-0.03836408158183238,-0.029315949133287056,0.30864197530864196,3
2014-11-12,2015,Detroit,@,Washington,103,107,230.0,-275.0,191.5,6.5,96.0,0,0.303030303030303,0.7333333333333333,16969,0.2946686990688817,train,0.30303030303030304,-0.027593293072690428,-0.008361603961421327,-1.0,8
2014-11-13,2015,Golden State,vs,Brooklyn,107,99,-605.0,455.0,211.5,-10.5,107.5,1,0.8581560283687943,0.1801801801801801,16970,0.8287861566908429,train,0.8581560283687943,-0.03422439592224094,-0.029369871677951465,0.1652892561983471,7
2014-11-13,2015,Toronto,vs,Chicago,93,100,-140.0,120.0,196.5,-2.5,97.5,0,0.5833333333333334,0.4545454545454545,16971,0.562435780636316,train,0.5833333333333334,-0.035824376052029594,-0.02089755269701732,-1.0,6
2014-11-13,2015,Philadelphia,@,Dallas,70,123,1000.0,-1700.0,210.5,13.5,103.5,0,0.0909090909090909,0.9444444444444444,16972,0.0869345191695796,train,0.09090909090909091,-0.043720289134624335,-0.0039745717395113095,-1.0,1
2014-11-13,2015,Brooklyn,@,Golden State,99,107,455.0,-605.0,211.5,10.5,107.5,0,0.1801801801801801,0.8581560283687943,16973,0.1796516844311209,train,0.18018018018018017,-0.002933151407279011,-0.0005284957490592768,-1.0,9
2014-11-13,2015,Sacramento,@,Memphis,110,111,195.0,-235.0,188.5,5.0,96.0,0,0.3389830508474576,0.7014925373134329,16974,0.3282213211263645,train,0.3389830508474576,-0.0317471026772248,-0.010761729721093127,-1.0,7
